gc 1 @0.002s 1%: 0.006+0.22+0.041 ms clock, 0.053+0.047/0.096/0.044+0.33 ms cpu, 15->16->1 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.003s 2%: 0.051+0.22+0.067 ms clock, 0.41+0.092/0.080/0+0.54 ms cpu, 14->16->1 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.005s 3%: 0.076+0.40+0.040 ms clock, 0.61+0.078/0.21/0+0.32 ms cpu, 14->15->1 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.007s 4%: 0.087+0.33+0.072 ms clock, 0.70+0.081/0.14/0+0.58 ms cpu, 14->15->1 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.009s 3%: 0.061+0.36+0.016 ms clock, 0.49+0.054/0.12/0+0.13 ms cpu, 14->16->1 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.011s 4%: 0.056+0.31+0.038 ms clock, 0.45+0.050/0.12/0+0.30 ms cpu, 14->16->2 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.012s 4%: 0.065+0.40+0.029 ms clock, 0.52+0.050/0.12/0+0.23 ms cpu, 14->16->2 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.014s 4%: 0.049+0.61+0.13 ms clock, 0.39+0.14/0.16/0+1.0 ms cpu, 13->17->3 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.016s 4%: 0.056+0.40+0.083 ms clock, 0.44+0.10/0.12/0+0.67 ms cpu, 14->16->2 MB, 18 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.019s 4%: 0.088+0.38+0.19 ms clock, 0.70+0.065/0.19/0+1.5 ms cpu, 12->14->2 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.021s 4%: 0.10+0.98+0.13 ms clock, 0.80+0.10/0.27/0+1.0 ms cpu, 12->17->6 MB, 16 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.024s 4%: 0.097+0.61+0.12 ms clock, 0.77+0.058/0.18/0+0.96 ms cpu, 24->27->3 MB, 30 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.027s 4%: 0.088+0.79+0.052 ms clock, 0.71+0.038/0.21/0+0.42 ms cpu, 13->18->5 MB, 17 MB goal, 0 MB stacks, 0 MB globals, 8 P
