gc 1 @0.000s 3%: 0.015+0.099+0.003 ms clock, 0.12+0.046/0.076/0+0.025 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.000s 6%: 0.042+0.097+0.010 ms clock, 0.34+0.049/0.054/0+0.085 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.001s 7%: 0.066+0.12+0.015 ms clock, 0.53+0.030/0.060/0+0.12 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.001s 8%: 0.076+0.12+0.003 ms clock, 0.61+0.047/0.062/0+0.027 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.002s 8%: 0.067+0.10+0.002 ms clock, 0.53+0.041/0.053/0+0.019 ms cpu, 1->1->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.002s 9%: 0.063+0.13+0.060 ms clock, 0.50+0.035/0.064/0+0.48 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.002s 10%: 0.050+0.096+0.016 ms clock, 0.40+0.052/0.057/0+0.13 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.003s 10%: 0.076+0.13+0.018 ms clock, 0.61+0.043/0.062/0+0.14 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.003s 10%: 0.071+0.11+0.002 ms clock, 0.57+0.049/0.039/0.004+0.019 ms cpu, 1->1->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.003s 10%: 0.079+0.15+0.019 ms clock, 0.63+0.043/0.097/0+0.15 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.004s 11%: 0.076+0.077+0.002 ms clock, 0.61+0.049/0.071/0+0.021 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.004s 10%: 0.062+0.11+0.002 ms clock, 0.49+0.034/0.061/0+0.020 ms cpu, 1->1->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.004s 10%: 0.053+0.10+0.011 ms clock, 0.42+0.034/0.054/0+0.090 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.005s 10%: 0.085+0.17+0.002 ms clock, 0.68+0.041/0.057/0+0.023 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @0.005s 10%: 0.072+0.23+0.039 ms clock, 0.57+0.049/0.057/0+0.31 ms cpu, 1->3->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @0.006s 11%: 0.10+0.11+0.003 ms clock, 0.80+0.051/0.069/0.006+0.024 ms cpu, 2->3->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @0.006s 10%: 0.061+0.15+0.011 ms clock, 0.49+0.039/0.056/0+0.095 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @0.007s 11%: 0.083+0.19+0.025 ms clock, 0.66+0.037/0.12/0.001+0.20 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @0.007s 11%: 0.067+0.14+0.010 ms clock, 0.54+0.058/0.069/0+0.084 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @0.007s 11%: 0.080+0.17+0.015 ms clock, 0.64+0.033/0.12/0+0.12 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 21 @0.008s 11%: 0.078+0.17+0.019 ms clock, 0.63+0.037/0.099/0+0.15 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 22 @0.008s 11%: 0.088+0.29+0.037 ms clock, 0.70+0.050/0.077/0+0.29 ms cpu, 1->3->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 23 @0.009s 11%: 0.054+0.10+0.002 ms clock, 0.43+0.043/0.072/0+0.020 ms cpu, 2->3->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 24 @0.009s 11%: 0.096+0.23+0.061 ms clock, 0.76+0.044/0.064/0+0.48 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 25 @0.010s 11%: 0.083+0.087+0.002 ms clock, 0.66+0.070/0.056/0+0.022 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 26 @0.010s 11%: 0.055+0.33+0.077 ms clock, 0.44+0.040/0.061/0+0.61 ms cpu, 1->3->2 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
